Material_ID,Total_Cost,Cumulative_Cost,Cumulative_Percent,SKU_Percent
MAT00011,1198033.2,1198033.2,0.1000655862369036,0.02
MAT00067,1198029.81,2396063.01,0.20013088932444426,0.04
MAT00641,1198029.63,3594092.6399999997,0.3001961773775054,0.06
MAT00355,1198028.44,4792121.08,0.40026136603595264,0.08
MAT00206,1198027.06,5990148.140000001,0.5003264394300574,0.1
MAT00099,1198026.0,7188174.140000001,0.600391424287783,0.12
MAT00313,1198023.25,8386197.390000001,0.7004561794520727,0.13999999999999999
MAT00372,1198023.0,9584220.39,0.8005209137351409,0.16
MAT00129,1198022.73,10782243.120000001,0.9005856254664901,0.18
MAT00073,1198022.49,11980265.610000001,1.0006503171518666,0.2
MAT00529,1198021.74,13178287.350000001,1.1007149461935788,0.22
MAT00558,1198021.7,14376309.05,1.2007795718942953,0.24
MAT00333,1198021.3800000001,15574330.430000002,1.3008441708670486,0.26
MAT00600,1198021.2,16772351.63,1.4009087548053225,0.27999999999999997
MAT00357,1198020.9300000002,17970372.560000002,1.500973316191877,0.3
MAT00423,1198020.78,19168393.340000004,1.6010378650496988,0.32
MAT00375,1198020.27,20366413.610000003,1.7011023713098288,0.33999999999999997
MAT00146,1198019.0,21564432.610000003,1.801166771493354,0.36
MAT00441,1198017.52,22762450.130000003,1.9012310480600476,0.38
MAT00590,1198016.24,23960466.37,2.0012952177148877,0.4
MAT00564,1198016.12,25158482.490000002,2.1013593773467414,0.42
MAT00348,1198016.12,26356498.610000003,2.2014235369785955,0.44
MAT00335,1198015.68,27554514.290000003,2.3014876598594998,0.45999999999999996
MAT00030,1198015.5,28752529.790000003,2.401551767705924,0.48
MAT00245,1198015.3599999999,29950545.150000002,2.5016158638588646,0.5
MAT00617,1198014.65,31148559.8,2.6016799007091365,0.52
MAT00084,1198014.3,32346574.1,2.7017439083256978,0.54
MAT00437,1198014.03,33544588.130000003,2.801807893390541,0.5599999999999999
MAT00459,1198013.64,34742601.77,2.901871845880678,0.58
MAT00238,1198013.6,35940615.370000005,3.001935795029819,0.6
MAT00370,1198013.22,37138628.59,3.101999712439504,0.62
MAT00169,1198013.1800000002,38336641.77,3.202063626508193,0.64
MAT00629,1198013.06,39534654.830000006,3.3021275305538973,0.66
MAT00007,1198012.27,40732667.10000001,3.402191368614941,0.6799999999999999
MAT00457,1198011.94,41930679.04000001,3.5022551791127716,0.7000000000000001
MAT00516,1198011.9,43128690.940000005,3.6023189862696072,0.72
MAT00723,1198011.71,44326702.650000006,3.7023827775567146,0.74
MAT00473,1198011.56,45524714.21000001,3.8024465563150893,0.76
MAT00622,1198011.56,46722725.77000001,3.902510335073464,0.7799999999999999
MAT00340,1198011.3,47920737.07000001,4.002574092115368,0.8
MAT00286,1198011.24,49118748.31000001,4.102637844145779,0.8200000000000001
MAT00408,1198010.8800000001,50316759.19000001,4.202701566107232,0.84
MAT00498,1198010.88,51514770.070000015,4.3027652880686835,0.86
MAT00043,1198010.52,52712780.59000002,4.4028289799611775,0.88
MAT00611,1198010.5,53910791.09000002,4.502892670183173,0.8999999999999999
MAT00425,1198010.1,55108801.19000002,4.602956326995214,0.9199999999999999
MAT00487,1198010.08,56306811.27000002,4.703019982136757,0.9400000000000001
MAT00209,1198009.8900000001,57504821.16000002,4.803083621408573,0.96
MAT00471,1198009.8,58702830.960000016,4.903147253163147,0.98
MAT00038,1198009.71,59900840.67000002,5.003210877400484,1.0
MAT00291,1198009.31,61098849.98000002,5.103274468227865,1.02
MAT00172,1198009.1199999999,62296859.10000002,5.203338043185518,1.04
MAT00300,1198009.05,63494868.15000001,5.303401612296429,1.06
MAT00673,1198008.9,64692877.05000001,5.403465168878607,1.08
MAT00069,1198008.84,65890885.890000015,5.503528720449292,1.0999999999999999
MAT00101,1198008.0,67088893.890000015,5.603592201859073,1.1199999999999999
MAT00182,1198007.97,68286901.86000001,5.703655680763108,1.1400000000000001
MAT00656,1198007.86,69484909.72000001,5.803719150479404,1.16
MAT00580,1198007.85,70682917.57000001,5.903782619360452,1.18
MAT00301,1198007.6,71880925.17,6.003846067360278,1.2
MAT00292,1198007.03,73078932.2,6.10390946775092,1.22
MAT00260,1198006.8,74276939.0,6.203972848930838,1.24
MAT00033,1198005.9,75474944.9,6.304036154938358,1.26
MAT00455,1198005.6400000001,76672950.54,6.404099439229409,1.28
MAT00149,1198005.31,77870955.85000001,6.504162695957248,1.3
MAT00124,1198005.27,79068961.12,6.604225949344091,1.32
MAT00336,1198004.2,80266965.32000001,6.704289113359304,1.34
MAT00666,1198004.2,81464969.52000001,6.80435227737452,1.3599999999999999
MAT00614,1198003.95,82662973.47000001,6.9044154205085135,1.38
MAT00460,1198003.81,83860977.28000002,7.004478551949024,1.4000000000000001
MAT00318,1198003.68,85058980.96000002,7.104541672531299,1.4200000000000002
MAT00435,1198003.0999999999,86256984.06000002,7.204604744669138,1.44
MAT00538,1198003.0899999999,87454987.15000002,7.3046678159717295,1.46
MAT00591,1198001.92,88652989.07000002,7.4047307895502055,1.48
MAT00371,1198001.79,89850990.86000003,7.504793752270446,1.5
MAT00677,1198001.77,91048992.63000003,7.604856713320188,1.52
MAT00589,1198001.49,92246994.12000002,7.704919650982962,1.54
MAT00515,1198001.46,93444995.58000001,7.804982586139989,1.5599999999999998
MAT00059,1198001.46,94642997.04,7.905045521297016,1.58
MAT00587,1198001.38,95840998.42,8.005108449772052,1.6
MAT00378,1198001.22,97038999.64,8.105171364883109,1.6199999999999999
MAT00078,1198000.44,98237000.08,8.205234214844753,1.6400000000000001
MAT00651,1198000.29,99435000.37,8.305297052277663,1.66
MAT00410,1198000.2,100633000.57000001,8.405359882193336,1.68
MAT00312,1197999.96,101831000.53,8.505422692063034,1.7000000000000002
MAT00705,1197999.69,103029000.22,8.605485479381013,1.72
MAT00702,1197999.3399999999,104226999.56,8.705548237465283,1.7399999999999998
MAT00223,1197999.29,105424998.85000001,8.80561099137331,1.76
MAT00727,1197998.98,106622997.83000001,8.905673719388622,1.78
MAT00100,1197997.9,107820995.73000002,9.005736357197055,1.7999999999999998
MAT00434,1197997.76,109018993.49000002,9.105798983312006,1.82
MAT00191,1197997.57,110216991.06000002,9.205861593557227,1.8399999999999999
MAT00690,1197997.57,111414988.63000001,9.305924203802448,1.8599999999999999
MAT00334,1197997.5,112612986.13000001,9.405986808200929,1.8800000000000001
MAT00047,1197995.76,113810981.89000002,9.506049267266107,1.9
MAT00165,1197995.6,115008977.49000001,9.606111712967303,1.92
MAT00748,1197995.4,116206972.89000002,9.706174141963524,1.94
MAT00235,1197994.3599999999,117404967.25000001,9.806236484093862,1.96
MAT00142,1197993.75,118602961.00000001,9.90629877527402,1.9800000000000002
MAT00210,1197993.5,119800954.50000001,10.006361045572957,2.0
MAT00709,1197992.95,120998947.45000002,10.106423269933206,2.02
MAT00080,1197991.8,122196939.25000001,10.206485398239836,2.04
MAT00016,1197991.68,123394930.93000002,10.306547516523484,2.06
MAT00263,1197990.99,124592921.92000002,10.406609577174954,2.08
MAT00604,1197990.28,125790912.20000002,10.50667157852376,2.1
MAT00704,1197989.76,126988901.96000002,10.606733536439624,2.12
MAT00112,1197989.74,128186891.70000002,10.70679549268499,2.1399999999999997
MAT00440,1197989.73,129384881.43000002,10.806857448095105,2.16
MAT00373,1197989.46,130582870.89000002,10.906919380953504,2.18
MAT00469,1197989.1,131780859.99000001,11.006981283742942,2.1999999999999997
MAT00254,1197988.58,132978848.57000001,11.10704314309944,2.22
MAT00255,1197988.4100000001,134176836.98,11.207104988256708,2.2399999999999998
MAT00270,1197988.4,135374825.38,11.307166832578726,2.26
MAT00110,1197987.78,136572813.16,11.407228625115316,2.2800000000000002
MAT00598,1197987.32,137770800.48,11.507290379230458,2.3
MAT00202,1197987.12,138968787.6,11.607352116640623,2.32
MAT00072,1197986.32,140166773.92,11.707413787230879,2.34
MAT00477,1197985.9100000001,141364759.82999998,11.807475423575932,2.36
MAT00168,1197985.3599999999,142562745.19,11.9075370139823,2.3800000000000003
MAT00695,1197984.8,143760729.99,12.007598557614731,2.4
MAT00494,1197984.44,144958714.43,12.107660071178202,2.42
MAT00563,1197984.38,146156698.81,12.207721579730178,2.44
MAT00645,1197984.27,147354683.08,12.30778307909442,2.46
MAT00176,1197984.15,148552667.23000002,12.407844568435674,2.48
MAT00207,1197983.43,149750650.66000003,12.507905997639012,2.5
MAT00719,1197982.8,150948633.46000004,12.607967374221671,2.52
MAT00644,1197982.5,152146615.96000004,12.708028725746864,2.54
MAT00668,1197982.5,153344598.46000004,12.808090077272055,2.56
MAT00450,1197982.08,154542580.54000005,12.908151393716796,2.58
MAT00109,1197981.09,155740561.63000005,13.008212627471902,2.6
MAT00588,1197980.96,156938542.59000006,13.108273850368771,2.62
MAT00363,1197980.6400000001,158136523.23000005,13.208335046537675,2.64
MAT00593,1197980.6400000001,159334503.87000003,13.308396242706577,2.6599999999999997
MAT00015,1197980.6400000001,160532484.51000002,13.408457438875482,2.68
MAT00369,1197980.43,161730464.94000003,13.508518617504162,2.7
MAT00694,1197980.16,162928445.10000002,13.60857977358112,2.7199999999999998
MAT00005,1197980.0,164126425.10000002,13.7086409162941,2.74
MAT00006,1197980.0,165324405.10000002,13.808702059007077,2.76
MAT00586,1197979.68,166522384.78000003,13.908763174992092,2.78
MAT00091,1197978.74,167720363.52000004,14.008824212463717,2.8000000000000003
MAT00547,1197978.6,168918342.12000003,14.108885238241854,2.82
MAT00431,1197978.12,170116320.24000004,14.208946223928045,2.8400000000000003
MAT00320,1197978.12,171314298.36000004,14.309007209614238,2.86
MAT00203,1197977.8199999998,172512276.18000004,14.409068170242964,2.88
MAT00156,1197977.5499999998,173710253.73000005,14.509129108319973,2.9000000000000004
MAT00540,1197977.04,174908230.77000004,14.609190003799288,2.92
MAT00057,1197976.95,176106207.72000003,14.709250891761364,2.94
MAT00106,1197976.9,177304184.62000003,14.809311775547195,2.96
MAT00298,1197976.53,178502161.15000004,14.909372628428821,2.98
MAT00133,1197976.52,179700137.67000005,15.009433480475199,3.0
MAT00671,1197976.3900000001,180898114.06000003,15.109494321663336,3.02
MAT00605,1197976.39,182096090.45000002,15.209555162851476,3.04
MAT00621,1197976.05,183294066.50000003,15.309615975641155,3.06
MAT00401,1197975.48,184492041.98000002,15.409676740821649,3.08
MAT00729,1197975.28,185690017.26000002,15.509737489297166,3.1
MAT00635,1197975.0,186887992.26000002,15.609798214385714,3.1199999999999997
MAT00665,1197974.25,188085966.51000002,15.709858876830598,3.1399999999999997
MAT00284,1197974.16,189283940.67000002,15.809919531758243,3.16
MAT00430,1197974.05,190481914.72000003,15.909980177498154,3.18
MAT00041,1197973.98,191679888.70000002,16.010040817391317,3.2
MAT00134,1197973.86,192877862.56000003,16.110101447261496,3.2199999999999998
MAT00678,1197973.8,194075836.36000004,16.210162072120184,3.2399999999999998
MAT00601,1197973.65,195273810.01000005,16.31022268445014,3.26
MAT00630,1197973.48,196471783.49000004,16.41028328258086,3.2800000000000002
MAT00461,1197973.4,197669756.89000005,16.510343874029594,3.3000000000000003
MAT00324,1197973.26,198867730.15000004,16.610404453784838,3.32
MAT00159,1197973.22,200065703.37000003,16.71046503019909,3.34
MAT00022,1197973.04,201263676.41000003,16.810525591578863,3.36
MAT00639,1197972.8,202461649.21000004,16.910586132912663,3.38
MAT00226,1197972.48,203659621.69000003,17.0106466475185,3.4000000000000004
MAT00606,1197971.78,204857593.47000003,17.110707103656917,3.42
MAT00528,1197971.64,206055565.11,17.21076754810185,3.44
MAT00295,1197971.3199999998,207253536.43,17.310827965818817,3.46
MAT00495,1197970.8,208451507.23000002,17.410888340102844,3.4799999999999995
MAT00153,1197969.5,209649476.73000002,17.510948605804522,3.5000000000000004
MAT00557,1197969.04,210847445.77,17.611008833084753,3.52
MAT00088,1197968.94,212045414.71,17.711069052012494,3.54
MAT00289,1197968.24,213243382.95000002,17.811129212472814,3.56
MAT00058,1197967.68,214441350.63000003,17.9111893261592,3.58
MAT00027,1197967.65,215639318.28000003,18.01124943733984,3.5999999999999996
MAT00667,1197966.09,216837284.37000003,18.111309418221655,3.62
MAT00181,1197966.0,218035250.37000003,18.21136939158623,3.64
MAT00731,1197966.0,219233216.37000003,18.311429364950808,3.66
MAT00577,1197965.58,220431181.95000005,18.411489303234934,3.6799999999999997
MAT00545,1197964.86,221629146.81000006,18.51154918138114,3.6999999999999997
MAT00527,1197963.93,222827110.74000007,18.611608981849205,3.7199999999999998
MAT00180,1197963.0,224025073.74000007,18.711668704639123,3.74
MAT00381,1197962.52,225223036.26000008,18.811728387337098,3.7600000000000002
MAT00562,1197962.52,226420998.7800001,18.911788070035072,3.7800000000000002
MAT00603,1197962.3199999998,227618961.10000008,19.01184773602807,3.8
MAT00343,1197962.25,228816923.35000008,19.111907396174324,3.82
MAT00050,1197961.44,230014884.79000008,19.21196698866542,3.84
MAT00387,1197960.28,231212845.07000008,19.31202648426765,3.8600000000000003
MAT00152,1197959.56,232410804.63000008,19.412085919731965,3.88
MAT00354,1197958.72,233608763.35000008,19.51214528503537,3.9
MAT00097,1197958.3599999999,234806721.7100001,19.61220462026982,3.92
MAT00085,1197957.5,236004679.2100001,19.71226388367287,3.94
MAT00730,1197956.91,237202636.1200001,19.812323097796234,3.9600000000000004
MAT00634,1197956.5,238400592.6200001,19.912382277674396,3.9800000000000004
MAT00398,1197955.94,239598548.5600001,20.01244141077862,4.0
MAT00669,1197955.92,240796504.48000008,20.112500542212345,4.02
MAT00118,1197955.92,241994460.40000007,20.212559673646073,4.04
MAT00699,1197955.78,243192416.18000007,20.312618793386317,4.06
MAT00311,1197955.44,244390371.62000006,20.412677884728097,4.08
MAT00443,1197955.2,245588326.82000005,20.512736956023904,4.1000000000000005
MAT00240,1197955.2,246786282.02000004,20.612796027319717,4.12
MAT00675,1197954.68,247984236.70000005,20.712855055182587,4.14
MAT00691,1197954.6,249182191.30000004,20.812914076363462,4.16
MAT00216,1197954.04,250380145.34000003,20.912973050770404,4.18
MAT00664,1197954.04,251578099.38000003,21.013032025177345,4.2
MAT00492,1197953.8599999999,252776053.24000004,21.11309098454981,4.22
MAT00188,1197953.15,253974006.39000005,21.213149884619604,4.24
MAT00520,1197953.1400000001,255171959.53000003,21.313208783854147,4.26
MAT00174,1197952.9100000001,256369912.44000003,21.41326766387797,4.279999999999999
MAT00683,1197952.6400000001,257567865.08,21.51332652135007,4.3
MAT00310,1197952.08,258765817.16000003,21.61338533204824,4.32
MAT00698,1197952.07,259963769.23000002,21.713444141911154,4.34
MAT00602,1197952.0,261161721.23000002,21.81350294592733,4.36
MAT00503,1197951.79,262359673.02,21.913561732403277,4.38
MAT00082,1197951.42,263557624.44,22.013620487975018,4.3999999999999995
MAT00214,1197950.4,264755574.84,22.113679158351378,4.42
MAT00225,1197950.34,265953525.18,22.21373782371624,4.44
MAT00556,1197950.33,267151475.51000002,22.313796488245856,4.46
MAT00467,1197950.0,268349425.51000002,22.41385512521226,4.4799999999999995
MAT00549,1197949.24,269547374.75,22.51391369869975,4.5
MAT00711,1197948.27,270745323.02,22.6139721911681,4.52
MAT00032,1197948.03,271943271.04999995,22.714030663590474,4.54
MAT00296,1197947.54,273141218.59,22.81408909508566,4.5600000000000005
MAT00147,1197947.1,274339165.69,22.914147489829897,4.58
MAT00308,1197946.58,275537112.27,23.01420584114119,4.6
MAT00722,1197946.53,276735058.79999995,23.114264188276238,4.62
MAT00493,1197946.39,277933005.18999994,23.2143225237178,4.64
MAT00063,1197946.12,279130951.30999994,23.314380836607647,4.66
MAT00037,1197945.45,280328896.75999993,23.414439093535822,4.68
